"","age_range","sex","bmi"
"1","0-4","female",16.418443447188
"2","0-4","male",16.698322471274
"3","5-9","female",17.4519045734078
"4","5-9","male",17.7325531258945
"5","10-14","female",21.0538826922252
"6","10-14","male",20.748608596067
"7","15-19","female",23.8004380453622
"8","15-19","male",23.3368628762399
"9","20-24","female",25.9066058693826
"10","20-24","male",25.617481732318
"11","25-29","female",27.5277242175281
"12","25-29","male",26.9751848977487
"13","30-34","female",28.715546475321
"14","30-34","male",27.7201476197524
"15","34-39","female",29.4916488672049
"16","34-39","male",28.2782589425802
"17","40-44","female",29.8582873209578
"18","40-44","male",28.4037522396368
"19","45-49","female",30.1505667683049
"20","45-49","male",28.3763214246219
"21","50-54","female",30.4787484941997
"22","50-54","male",28.4098235702841
"23","55-59","female",30.1110772215093
"24","55-59","male",27.9893392551956
"25","60-64","female",29.903885574915
"26","60-64","male",27.7631626744424
"27","65-69","female",29.2272521567246
"28","65-69","male",27.0413743882279
"29","70-74","female",28.2900659689667
"30","70-74","male",26.7182380238624
"31","75-79","female",27.247678967712
"32","75-79","male",25.9425314247682
"33","80-84","female",26.3185064516097
"34","80-84","male",25.0681380252449
"35","85-89","female",25.388679675372
"36","85-89","male",24.516276219996
"37","90-94","female",23.8183459327334
"38","90-94","male",23.2631656245181
"39","95-100","female",24.4801624961521
"40","95-100","male",23.3249614238739
